Date,Open,High,Low,Close,Volume
09/23/2021,48.08,48.94,47.65,47.81,"67,29,036"
09/22/2021,47.41,48.38,46.57,47.54,"90,26,372"
09/21/2021,49.84,49.84,46.5,47.49,"1,05,35,308"
09/20/2021,50,50.71,46.14,48.05,"1,57,67,208"
09/17/2021,52.01,53.12,50.2,51.24,"1,58,02,572"
09/16/2021,50.58,54.14,50.29,51.59,"1,22,32,868"
09/15/2021,49.25,51.22,48.44,51.13,"92,41,628"
09/14/2021,50.16,51.16,48.75,49.81,"85,66,524"
09/13/2021,48.44,52.22,47.88,50.85,"1,73,36,272"
09-10-2021,49.6,50.54,47.5,47.6,"1,21,70,592"
09-09-2021,45.02,50.5,44.5,49.8,"3,00,45,832"
09-08-2021,50.47,51.72,47.67,49.7,"2,06,94,264"
09-07-2021,51.56,52.48,49.03,49.75,"1,00,04,712"
09-03-2021,53.01,54.07,49.71,50.69,"1,06,56,020"
09-02-2021,53.47,53.7,51.58,53.38,"74,22,472"
09-01-2021,56,57.86,52.01,53.24,"1,78,15,128"
08/31/2021,53.18,55.58,52.87,54.56,"1,42,98,748"
08/30/2021,51.25,54.55,50.76,52.3,"1,32,38,336"
08/27/2021,51.93,53.25,50.01,51.24,"1,29,23,216"
08/26/2021,50.17,54.25,49.75,51.31,"2,49,54,588"
08/25/2021,51.66,56.75,48.25,49.91,"5,14,44,240"
08/24/2021,41.57,56.25,41.29,52.57,"5,86,08,840"
08/23/2021,40.6,41.82,39.89,41.22,"53,72,128"
08/20/2021,38.45,40.02,38.31,39.83,"46,19,432"
08/19/2021,39.19,39.5,37.7,38.23,"47,86,192"
08/18/2021,40.81,41.4,39.19,39.26,"56,47,368"
08/17/2021,40.3,42.37,40.28,40.89,"48,63,752"
08/16/2021,40.25,42.47,39.79,40.98,"62,99,508"
08/13/2021,40.12,40.89,39.35,40.63,"40,59,004"
08-12-2021,39.97,41.07,39.33,40.59,"52,79,328"
08-11-2021,39.61,39.76,38.66,39.7,"37,81,712"
08-10-2021,40.34,41.72,38.84,39.76,"64,93,336"
08-09-2021,37.95,41.18,37.67,40.28,"89,96,816"
08-06-2021,38.65,39.13,37.58,37.94,"54,10,756"
08-05-2021,37,39.4,36.31,38.36,"96,48,492"
08-04-2021,38.18,39.45,36.42,36.7,"95,73,936"
08-03-2021,39.19,39.72,37.05,38.19,"5,78,02,480"
08-02-2021,40.5,40.9,38.77,39.41,"1,01,31,724"
07/30/2021,41.25,41.81,39.72,40.28,"95,08,472"
07/29/2021,42.65,43.47,41.13,41.22,"89,59,980"
07/28/2021,43.93,44.28,41.07,42.28,"1,64,03,380"
07/27/2021,45.75,46.25,44.17,44.64,"48,59,100"
07/26/2021,45.09,46.51,44.69,45.99,"50,42,372"
07/23/2021,45.25,45.4,43.46,45.09,"52,64,672"
07/22/2021,46.33,46.92,44.04,44.71,"56,51,952"
07/21/2021,46.95,48.88,45.53,46.45,"89,16,736"
07/20/2021,43.48,48.41,43.11,47.8,"1,24,04,360"
07/19/2021,40.83,44,40.31,43.37,"97,47,736"
07/16/2021,42.54,44.87,41.58,42.26,"1,31,51,716"
07/15/2021,40,43,39.5,41.71,"1,71,94,356"
07/14/2021,45.12,45.6,41.27,41.91,"1,56,55,080"
07/13/2021,46.92,47.2,44.75,45.02,"95,91,776"
07-12-2021,47.86,49.44,46.86,47.31,"65,45,296"
07-09-2021,47.72,48.7,46.69,47.81,"63,31,700"
